id,prediction_text
1,치안관리처벌법
2,2013년
3,빛
4,타이베리움
5,11월 3일
6,대구 경북지역
7,10
8,save me
9,제3차 하리코프 공방전
10,동대문아파트
11,사라예보
12,경영자
13,자신의 개인 활동
14,다케조에 신이치
15,빛의 제국
16,섭외민사관계 법률적용법 섭외민사관계법률적용법
17,김대중 김종필
18,쥐트슐라이페
19,이완
20,22조 9000억원
21,600000장이
22,음악적 형태와 장르 재즈는 음악적 예술 형태
23,시카고 블루스
24,세계일보
25,블록체인 blockchain 기술
26,지난해 4월
27,부산
28,30일간
29,마스크
30,샤이크 미스킨
31,15년
32,sbs
33,1992년
34,장진
35,요르단 강
36,서울올림픽주경기장
37,이두황
38,업의 성질
39,정수기 cf
40,차범근 축구교실
41,송파구 장미아파트
42,4월 3일
43,300만 원
44,이회창
45,진상은 이렇다
46,평민당사
47,이븐 알나딤 ibn
48,문헌
49,2007년 12월 7일
50,윤상 콘서트play
51,하프연주
52,대포동 2호
53,인천
54,한겨레
55,2012년 7월 5일
56,화합적취 즉 화합하여 쌓인다는 뜻
57,김홍집
58,환경권
59,우리 집에 왜 왔니
60,seethrough hmd
61,도둑들
62,알렉산드르 1세
63,최동훈
64,1천100억 달러
65,승해
66,내부 기생충
67,점프 블루스
68,스크린 scrin
69,김구
70,약 100년
71,암호화폐
72,정도전
73,대륙 철학
74,상수도와 하수도
75,초등학교 교사
76,하페즈 알아사드
77,아덴만 여명작전
78,김영대
79,1949년
80,1986년
81,향토예비군법
82,외젠 드 보아르
83,비율
84,사
85,김대중
86,암흑국가 라면
87,북한 잠수함 침투사건
88,해금 정책
89,후쿠시마 원전사고
90,제국의 아이들
91,김옥균
92,미국 육군 부참모 총장
93,동진사
94,호남출신
95,10명
96,7월 8일
97,죄형법정주의
98,일본 닌텐도 스페이스 월드 엑스포
99,24명
100,3가지
101,abc방송사
102,clichè
103,2014년
104,로베르타 캐슬린 팍스
105,공무원 급여
106,국민신당
107,1958년
108,전국 천하영웅의 시대
109,체크메이트
110,블루스 페스티벌
111,구약학
112,빌헬름 마르크스
113,40명
114,할아버지
115,노무현 정권
116,김용옥
